step,time,temp,ke,pe,etot,press
0,0.000000e+00,1.000000e+00,7.500000e+02,-3.182373e+03,-2.432373e+03,-5.408967e+00
100,5.000000e-01,5.759860e-01,4.319895e+02,-2.858254e+03,-2.426264e+03,-1.747585e+00
200,1.000000e+00,5.409184e-01,4.056888e+02,-2.832401e+03,-2.426712e+03,-1.391770e+00
300,1.500000e+00,5.404186e-01,4.053140e+02,-2.831598e+03,-2.426284e+03,-1.358078e+00
400,2.000000e+00,5.373444e-01,4.030083e+02,-2.829429e+03,-2.426421e+03,-1.316397e+00
500,2.500000e+00,5.315398e-01,3.986549e+02,-2.825267e+03,-2.426612e+03,-1.212371e+00
