step,time,temp,ke,pe,etot,press
0,0.000000e+00,1.000000e+00,1.500000e+02,-6.545376e+02,-5.045376e+02,-4.554495e+00
100,5.000000e-01,5.320908e-01,7.981363e+01,-5.856545e+02,-5.058408e+02,-1.516870e+00
200,1.000000e+00,5.019584e-01,7.529376e+01,-5.815351e+02,-5.062413e+02,-1.272891e+00
300,1.500000e+00,4.622307e-01,6.933460e+01,-5.756445e+02,-5.063099e+02,-1.070712e+00
400,2.000000e+00,5.318286e-01,7.977429e+01,-5.857951e+02,-5.060208e+02,-1.533642e+00
500,2.500000e+00,4.970464e-01,7.455696e+01,-5.805267e+02,-5.059698e+02,-1.332440e+00
