step,time,temp,ke,pe,etot,press
0,0.000000e+00,1.000000e+00,3.000000e+03,-1.292019e+04,-9.920186e+03,-5.220057e+00
100,5.000000e-01,5.267462e-01,1.580239e+03,-1.149697e+04,-9.916735e+03,-1.280605e+00
200,1.000000e+00,5.487815e-01,1.646345e+03,-1.156609e+04,-9.919747e+03,-1.322754e+00
300,1.500000e+00,5.501161e-01,1.650348e+03,-1.157210e+04,-9.921749e+03,-1.306586e+00
400,2.000000e+00,5.489286e-01,1.646786e+03,-1.157082e+04,-9.924035e+03,-1.172988e+00
500,2.500000e+00,5.578142e-01,1.673443e+03,-1.159642e+04,-9.922978e+03,-1.002549e+00
