step,time,temp,ke,pe,etot,press
0,0.000000e+00,1.000000e+00,1.500000e+03,-7.411355e+03,-5.911355e+03,2.024052e+00
100,5.000000e-01,5.428576e-01,8.142865e+02,-6.650428e+03,-5.836142e+03,9.264272e-01
200,1.000000e+00,3.451495e-01,5.177243e+02,-6.334583e+03,-5.816859e+03,-8.006836e-01
300,1.500000e+00,4.109260e-01,6.163890e+02,-6.428140e+03,-5.811751e+03,-1.331994e-01
400,2.000000e+00,4.681440e-01,7.022160e+02,-6.527335e+03,-5.825119e+03,1.662948e+00
500,2.500000e+00,4.646694e-01,6.970041e+02,-6.516970e+03,-5.819966e+03,7.668649e-01
