step,time,temp,ke,pe,etot,press
0,0.000000e+00,1.000000e+00,3.000000e+02,-1.411278e+03,-1.111278e+03,-9.612846e-01
100,5.000000e-01,4.570450e-01,1.371135e+02,-1.229412e+03,-1.092299e+03,-4.038415e-01
200,1.000000e+00,4.164951e-01,1.249485e+02,-1.217195e+03,-1.092247e+03,-8.388332e-01
300,1.500000e+00,4.020968e-01,1.206290e+02,-1.212996e+03,-1.092367e+03,-1.228422e+00
400,2.000000e+00,4.086149e-01,1.225845e+02,-1.215544e+03,-1.092959e+03,-7.539160e-01
500,2.500000e+00,4.379100e-01,1.313730e+02,-1.223969e+03,-1.092596e+03,-1.147534e+00
