step,time,temp,ke,pe,etot,press
6000,3.000000e+01,1.126711e+00,4.326572e+02,-1.289475e+03,-8.568181e+02,2.098764e+00
6100,3.050000e+01,1.096882e+00,4.212027e+02,-1.278300e+03,-8.570969e+02,2.223560e+00
6200,3.100000e+01,1.085063e+00,4.166641e+02,-1.274082e+03,-8.574183e+02,2.268581e+00
6300,3.150000e+01,1.073610e+00,4.122664e+02,-1.269483e+03,-8.572166e+02,2.407502e+00
6400,3.200000e+01,1.195334e+00,4.590083e+02,-1.317186e+03,-8.581782e+02,1.705349e+00
6500,3.250000e+01,1.083423e+00,4.160344e+02,-1.273416e+03,-8.573812e+02,2.410698e+00
6600,3.300000e+01,1.122518e+00,4.310468e+02,-1.288062e+03,-8.570152e+02,2.157811e+00
6700,3.350000e+01,1.127861e+00,4.330987e+02,-1.291011e+03,-8.579123e+02,2.002924e+00
6800,3.400000e+01,1.147051e+00,4.404675e+02,-1.297947e+03,-8.574799e+02,2.014228e+00
6900,3.450000e+01,1.068664e+00,4.103671e+02,-1.267808e+03,-8.574406e+02,2.463247e+00
7000,3.500000e+01,1.059768e+00,4.069510e+02,-1.263441e+03,-8.564896e+02,2.667011e+00
7100,3.550000e+01,1.151893e+00,4.423270e+02,-1.299459e+03,-8.571323e+02,1.921270e+00
7200,3.600000e+01,1.082846e+00,4.158129e+02,-1.272977e+03,-8.571637e+02,2.363579e+00
7300,3.650000e+01,1.104081e+00,4.239671e+02,-1.280754e+03,-8.567873e+02,2.122840e+00
7400,3.700000e+01,1.095617e+00,4.207168e+02,-1.277327e+03,-8.566102e+02,2.345570e+00
7500,3.750000e+01,1.211804e+00,4.653327e+02,-1.322886e+03,-8.575538e+02,1.559259e+00
7600,3.800000e+01,1.088077e+00,4.178214e+02,-1.275396e+03,-8.575748e+02,2.252225e+00
7700,3.850000e+01,1.157905e+00,4.446353e+02,-1.301788e+03,-8.571528e+02,1.803883e+00
7800,3.900000e+01,1.153647e+00,4.430005e+02,-1.300511e+03,-8.575107e+02,1.974993e+00
7900,3.950000e+01,1.066926e+00,4.096996e+02,-1.267033e+03,-8.573333e+02,2.359367e+00
8000,4.000000e+01,1.118746e+00,4.295986e+02,-1.286764e+03,-8.571654e+02,2.142575e+00
8100,4.050000e+01,1.169169e+00,4.489609e+02,-1.305951e+03,-8.569900e+02,1.646567e+00
8200,4.100000e+01,1.151678e+00,4.422444e+02,-1.299250e+03,-8.570054e+02,1.795100e+00
8300,4.150000e+01,1.065317e+00,4.090818e+02,-1.266292e+03,-8.572104e+02,2.541909e+00
8400,4.200000e+01,1.164715e+00,4.472504e+02,-1.305049e+03,-8.577984e+02,1.860071e+00
8500,4.250000e+01,1.078093e+00,4.139877e+02,-1.271160e+03,-8.571719e+02,2.412184e+00
8600,4.300000e+01,1.099720e+00,4.222926e+02,-1.279790e+03,-8.574972e+02,2.204451e+00
8700,4.350000e+01,1.083110e+00,4.159141e+02,-1.273434e+03,-8.575200e+02,2.266590e+00
8800,4.400000e+01,1.108455e+00,4.256468e+02,-1.283742e+03,-8.580948e+02,2.240042e+00
8900,4.450000e+01,1.098942e+00,4.219939e+02,-1.278541e+03,-8.565468e+02,2.381822e+00
9000,4.500000e+01,1.076684e+00,4.134465e+02,-1.270525e+03,-8.570786e+02,2.449503e+00
