step,time,temp,ke,pe,etot,press
0,0.000000e+00,1.000000e+00,3.000000e+02,-1.411278e+03,-1.111278e+03,-9.612846e-01
100,5.000000e-01,4.570450e-01,1.371135e+02,-1.229412e+03,-1.092299e+03,-4.038415e-01
